article,entity,raw_process_category,cycle_archetype,stage_seq,stage_bucket,stage_label,create_wip_operation,input_code,input_kind,output_code,output_kind
Cafe Galleries Brazil Nuts 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew 180 - 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew 180 - 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew 210 - 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew 210 - 500g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew 240 - 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew 240 - 500gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew 320 - 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cashew Black Pepper 250 Gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0024,SFG,FG,FG
Cafe Galleries Cashew Salted 180 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Chia seeds 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
"Cafe Galleries Cocktail Mix 250g(Almond,Cashew,Pista,Black Raisins)",cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Cranberry Whole 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Flax seeds 250g,cfpl,Sorting + Roasting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Hazelnuts 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Healthy Mewa Mix 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0030,SFG
Cafe Galleries Healthy Mewa Mix 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0030,SFG,FG,FG
Cafe Galleries Macadamia Nut Salted 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0031,SFG
Cafe Galleries Macadamia Nut Salted 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0031,SFG,FG,FG
Cafe Galleries Premium Cocktail Mix 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0032,SFG
Cafe Galleries Premium Cocktail Mix 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0032,SFG,FG,FG
Cafe Galleries Pumpkin Seeds 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0033,SFG
Cafe Galleries Pumpkin Seeds 250g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0033,SFG,FG,FG
Cafe Galleries Salted Cashew 210- 250gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0262,SFG,FG,FG
Cafe Galleries Salted Pumpkin Seeds 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0034,SFG
Cafe Galleries Salted Pumpkin Seeds 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0034,SFG,FG,FG
"Cafe Galleries Seeds Mix, 250g",cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0035,SFG
"Cafe Galleries Seeds Mix, 250g",cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0035,SFG,FG,FG
Cafe Galleries Selected American Almond 18 count - 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Selected American Almond 20-22 count - 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Slice Cranberry 250g,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Cafe Galleries Sunflower Seeds - 250gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0036,SFG
Cafe Galleries Sunflower Seeds - 250gm,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0036,SFG,FG,FG
California Pista Inshell Black Pepper,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0037,SFG
California Pista Inshell Black Pepper,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0037,SFG,FG,FG
California Pista Inshell Pink Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0038,SFG
California Pista Inshell Pink Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0038,SFG,FG,FG
California Pista Inshell Roasted and Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0039,SFG
California Pista Inshell Roasted and Salted,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0039,SFG,FG,FG
Caramel Pecannut,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0040,SFG
Caramel Pecannut,cfpl,Flavouring (Bulk Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0040,SFG,FG,FG
Carnial Almond Dragees 100gm,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting + Enrobe / Choco-Coat,Roasting + Enrobe / Choco-Coat,RM,RM,SFG0041,SFG
Carnial Almond Dragees 100gm,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0041,SFG,FG,FG
Carnival Afghan Apricot 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Almond Choco Bite (Dark Chocolate) 100g,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting + Enrobe / Choco-Coat,Roasting + Enrobe / Choco-Coat,RM,RM,SFG0042,SFG
Carnival Almond Choco Bite (Dark Chocolate) 100g,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0042,SFG,FG,FG
Carnival Almond Choco Bite (Milk Chocolate) 100g,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting + Enrobe / Choco-Coat,Roasting + Enrobe / Choco-Coat,RM,RM,SFG0042,SFG
Carnival Almond Choco Bite (Milk Chocolate) 100g,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0042,SFG,FG,FG
Carnival Almond Choco Bite (White Chocolate) 100g,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting + Enrobe / Choco-Coat,Roasting + Enrobe / Choco-Coat,RM,RM,SFG0042,SFG
Carnival Almond Choco Bite (White Chocolate) 100g,cfpl,Sorting + Roasting + Chocolate + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0042,SFG,FG,FG
Carnival Almond Smoked Paprika 100g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Almond Smoked Paprika 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0043,SFG
Carnival Almond Smoked Paprika 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0043,SFG,FG,FG
Carnival Almonds - Indepance 200g Mono Carton,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Almonds - Independence 200g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Almonds 250 Gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Almonds Independence 1Kg,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Apricot Turkey 1x2 300gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Arabian 350gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Barbeque Cashew 100gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0019,SFG,FG,FG
Carnival Barbeque Cashew 200gm,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0019,SFG,FG,FG
Carnival Barbeque Makhana 125 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0044,SFG
Carnival Barbeque Makhana 125 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0044,SFG,FG,FG
Carnival Barbeque Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0044,SFG
Carnival Barbeque Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0044,SFG,FG,FG
Carnival Berry Barbeque Trail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0045,SFG
Carnival Berry Barbeque Trail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0045,SFG,FG,FG
Carnival Black Pepper Makhana 125 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0046,SFG
Carnival Black Pepper Makhana 125 Gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0046,SFG,FG,FG
Carnival Black Pepper Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0046,SFG
Carnival Black Pepper Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0046,SFG,FG,FG
Carnival Black Pepper Pistachio 80g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Blueberries Dried - 250G,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Blueberry 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival California Almonds Independence 1kg,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival California Pista Roasted and Salted 800g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0047,SFG
Carnival California Pista Roasted and Salted 800g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0047,SFG,FG,FG
Carnival California Pistachio 200g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival California Pitted Prunes 300 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Caramel Sesame Walnut 150g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0048,SFG
Carnival Caramel Sesame Walnut 150g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0048,SFG,FG,FG
Carnival Caramel Sesame Walnut 70g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0048,SFG
Carnival Caramel Sesame Walnut 70g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0048,SFG,FG,FG
Carnival Cashew (400 - 450) 200g Mono Carton,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Cashew Roasted And Salted 250g,cfpl,Sorting + Packaging,C: Pack of existing SFG,1,Final FG,Packing,,SFG0262,SFG,FG,FG
Carnival Chatpata Black Raisins 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0049,SFG
Carnival Chatpata Black Raisins 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0049,SFG,FG,FG
Carnival Chatpata Cranberry 100G,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Chatpata Cranberry 250gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Chatpata Prunes 100gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Cheese Cashew 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0050,SFG
Carnival Cheese Cashew 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0050,SFG,FG,FG
Carnival Cheese Cashew 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0050,SFG
Carnival Cheese Cashew 230g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0050,SFG,FG,FG
Carnival Cheese Makhana 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0051,SFG
Carnival Cheese Makhana 125g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0051,SFG,FG,FG
Carnival Cheese Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0051,SFG
Carnival Cheese Makhana 55g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0051,SFG,FG,FG
Carnival Choco Orange Walnut 150gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0052,SFG
Carnival Choco Orange Walnut 150gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0052,SFG,FG,FG
Carnival Classic Almonds 100g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Almonds 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Anjeer 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Cashew 250 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Chia Seeds 100gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Date Bites 357gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Blend & Form,Blend & Form,RM,RM,SFG0053,SFG
Carnival Classic Date Bites 357gm,cfpl,Sorting + Blending + Bar Forming + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0053,SFG,FG,FG
Carnival Classic Hazelnut 250 GMS,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Indian Kishmish 500 Gms,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Indian Raisins 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Irani Pistachio Salted 80g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Classic Pumpkin Seeds 100g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0054,SFG
Carnival Classic Pumpkin Seeds 100g,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0054,SFG,FG,FG
Carnival Classic Sunflower Seeds 100G,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roasting,Roasting,RM,RM,SFG0055,SFG
Carnival Classic Sunflower Seeds 100G,cfpl,Sorting + Roasting + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0055,SFG,FG,FG
Carnival Cocktail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0056,SFG
Carnival Cocktail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0056,SFG,FG,FG
Carnival Cocktail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0056,SFG
Carnival Cocktail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0056,SFG,FG,FG
Carnival Cocktail Mix 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0056,SFG
Carnival Cocktail Mix 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0056,SFG,FG,FG
Carnival Cocktail Mix Plain Pouch 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0057,SFG
Carnival Cocktail Mix Plain Pouch 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0057,SFG,FG,FG
Carnival Cranberry Flavoured Chatpata 200g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Cranberry Sliced 250 Gms,cfpl,Sorting + Blanching + Slicing/Dicing/Slivering + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Cranberry Whole - 100gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Cranberry Whole 250G,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Crunchy Caramel Trail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0058,SFG
Carnival Crunchy Caramel Trail Mix 100g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0058,SFG,FG,FG
Carnival Crunchy Caramel Trail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0058,SFG
Carnival Crunchy Caramel Trail Mix 200g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0058,SFG,FG,FG
Carnival Crunchy Caramel Trail Mix 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0058,SFG
Carnival Crunchy Caramel Trail Mix 250g,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0058,SFG,FG,FG
Carnival Deluxe Seeded Black Raisin 250gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Dried Blueberry 250g,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Dried Blueberry 250g - Tub,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Dried Cranberry Whole 100g (PP),cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Dried Cranberry Whole 250g - Tub,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Almonds (27-28 count) 100gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Almonds (27-28 count) 125gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Almonds (27-28 count) 150gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Almonds (27-28 count) 200gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Black Raisin Seedless 150gm,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: De-Seeding,De-Seeding,RM,RM,SFG0059,SFG
Carnival Festive Black Raisin Seedless 150gm,cfpl,De-seeding + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0059,SFG,FG,FG
Carnival Festive California Pista (21-26) 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0060,SFG
Carnival Festive California Pista (21-26) 100gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0060,SFG,FG,FG
Carnival Festive California Pista (21-26) 125gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive California Pista (21-26) 150gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive California Pista (21-26) 200gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive California Pista (21-26) 80gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0060,SFG
Carnival Festive California Pista (21-26) 80gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),2,Final FG,Packing,,SFG0060,SFG,FG,FG
Carnival Festive Cashew (320) 100gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Cashew (320) 125gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Cashew (320) 150gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Cashew (320) 200gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Cashew (320) 80gm,cfpl,Sorting + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Chatpata Cranberry 100gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Chatpata Cranberry 120g,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Chatpata Cranberry 250gm,cfpl,Flavouring + Packaging,D: Pack-only,1,Final FG,Sorting + Packing,,RM,RM,FG,FG
Carnival Festive Chatpata Cranberry 80gm,cfpl,Flavouring + Packaging,B: Transform->Pack (in-line),1,Create WIP,Create WIP: Roast & Flavour/Salt,Roast & Flavour/Salt,RM,RM,SFG0061,SFG
